URI,Title,RecordId,Coin Type URI,From Date,To Date,Artist,Authority,Coin Type,Degree,Deity,Denomination,Department,Dynasty,Engraver,Issuer,Maker,Manufacture,Material,Mint,Object Type,Place of Production,Place of Issue,Place of Cataloging Relevance,Portrait,Reference,Region,SubjectEvent,SubjectIssuer,SubjectPerson,SubjectPlace,State,Obverse Legend,Obverse Type,Reverse Legend,Reverse Type,Date on Object,Ah,Axis,Diameter (in mm),Weight (in gr.),Thumbnail_obv,Thumbnail_rev,Date Record Modified
http://numismatics.org/collection/0000.999.17080,"Gold dinar of Anonymous, Fas, nd H. 0000.999.17080",0000.999.17080,,1195.0,1465.0,,Anonymous,,,,dinar,Islamic,Merinid||Marinid,,,,,Gold,Fas,Coin,,,,,H 710,Maghrib,,,,,,,,,,,,,,0.59,https://numismatics.org/collectionimages/00001899/0000/0000.999.17080.obv.width175.jpg,https://numismatics.org/collectionimages/00001899/0000/0000.999.17080.rev.width175.jpg,2022-08-29T08:32:37Z
http://numismatics.org/collection/0000.999.17081,"Silver dirham of Anonymous, Fas, nd H. 0000.999.17081",0000.999.17081,,1331.0,1352.0,,Anonymous,,,,dirham,Islamic,Muwahhidun||Almohad,,,,,Silver,Fas,Coin,,,,,H 1144,Maghrib,,,,,,,,,,,,12.0,,0.903,https://numismatics.org/collectionimages/00001899/0000/0000.999.17081.obv.width175.jpg,https://numismatics.org/collectionimages/00001899/0000/0000.999.17081.rev.width175.jpg,2022-08-29T08:32:37Z
http://numismatics.org/collection/0000.999.17133,"Silver dirham of Anonymous, nm, nd H. 0000.999.17133",0000.999.17133,,1129.0,1269.0,,Anonymous,,,,dirham,Islamic,Muwahhidun||Almohad,,,,,Silver,nm,Coin,,,,,,Maghrib,,,,,,,,,,,,,,,https://numismatics.org/collectionimages/00001899/0000/0000.999.17133.obv.width175.jpg,https://numismatics.org/collectionimages/00001899/0000/0000.999.17133.rev.width175.jpg,2022-08-29T08:32:46Z
http://numismatics.org/collection/0000.999.17139,"Copper alloy 1/2 fals of Anonymous, nm, nd H. 0000.999.17139",0000.999.17139,,1785.0,1882.0,,Anonymous,,,,1/2 fals,Islamic,`Alawi Sharifs (Fileyli),,,,,Copper alloy,nm,Coin,,,,,,Maghrib,,,,,,,,,,,,,,,https://numismatics.org/collectionimages/00001899/0000/0000.999.17139.obv.width175.jpg,https://numismatics.org/collectionimages/00001899/0000/0000.999.17139.rev.width175.jpg,2022-08-29T08:32:47Z
http://numismatics.org/collection/0000.999.17144,"Copper alloy fals of Anonymous, nm, nd H. 0000.999.17144",0000.999.17144,,1785.0,1882.0,,Anonymous,,,,fals,Islamic,`Alawi Sharifs (Fileyli),,,,,Copper alloy,nm,Coin,,,,,,Maghrib,,,,,,,,,,,,,,,https://numismatics.org/collectionimages/00001899/0000/0000.999.17144.obv.width175.jpg,https://numismatics.org/collectionimages/00001899/0000/0000.999.17144.rev.width175.jpg,2022-08-29T08:32:48Z
http://numismatics.org/collection/0000.999.17145,"Copper alloy fals, Marrakush, nd H. 0000.999.17145",0000.999.17145,,1785.0,1882.0,,,,,,fals,Islamic,`Alawi Sharifs (Fileyli),,,,,Copper alloy,Marrakush,Coin,,,,,,Maghrib,,,,,,,,,,,,,,,https://numismatics.org/collectionimages/00001899/0000/0000.999.17145.obv.width175.jpg,https://numismatics.org/collectionimages/00001899/0000/0000.999.17145.rev.width175.jpg,2022-08-29T08:32:48Z
http://numismatics.org/collection/0000.999.173,"Silver dirham of al-Muttaqi lillah/Abu Mansur, al-Basra, 331 H. 0000.999.173",0000.999.173,,331.0,331.0,,al-Muttaqi lillah||Abu Mansur,,,,dirham,Islamic,`Abbasid,,,,,Silver,al-Basra,Coin,,,,,,Mashriq,,,,,Abbasid Caliphs,,,,,,331.0,4.0,26.0,,https://numismatics.org/collectionimages/00001899/0000/0000.999.173.obv.width175.jpg,https://numismatics.org/collectionimages/00001899/0000/0000.999.173.rev.width175.jpg,2022-08-29T08:33:28Z
http://numismatics.org/collection/0000.999.16298,"Silver dirham of Baybars I, nm Hamah, nd [659-60] H. 0000.999.16298",0000.999.16298,,1260.0,1262.0,,Baybars I,,,,dirham,Islamic,Bahri Mamluk,,,,,Silver,nm Hamah,Coin,,,,,Balog 042,Syria,,,,,Bahri Mamluks,,,,,,,,23.0,2.74,https://numismatics.org/collectionimages/00001899/0000/0000.999.16298.obv.width175.jpg,https://numismatics.org/collectionimages/00001899/0000/0000.999.16298.rev.width175.jpg,2022-08-29T08:29:49Z
http://numismatics.org/collection/0000.999.16349,"Gold dinar of Lajin, al-Qahira, xxx H. 0000.999.16349",0000.999.16349,,1297.0,1299.0,,Lajin,,,,dinar,Islamic,Bahri Mamluk,,,,,Gold,al-Qahira,Coin,,,,,Balog 162,NE Africa,,,,,Bahri Mamluks,,,,,,,,,6.35,https://numismatics.org/collectionimages/00001899/0000/0000.999.16349.obv.width175.jpg,https://numismatics.org/collectionimages/00001899/0000/0000.999.16349.rev.width175.jpg,2022-08-29T08:30:06Z
http://numismatics.org/collection/0000.999.16361,"Copper alloy fals of Aynal, al-Qahira, 864 H. 0000.999.16361",0000.999.16361,,864.0,864.0,,Aynal,,,,fals,Islamic,Burji Mamluk,,,,,Copper alloy,al-Qahira,Coin,,,,,B 775,NE Africa,,,,,Burji (Circassians) Mamluks,,,,,,864.0,,,2.225,https://numismatics.org/collectionimages/00001899/0000/0000.999.16361.obv.width175.jpg,https://numismatics.org/collectionimages/00001899/0000/0000.999.16361.rev.width175.jpg,2022-08-29T08:30:08Z
