context,id,iiif_format,profile,resource,acknowledgements,site,sheet-scale,creator,size,license,access-rights,source,subject,title,repository,date,location,object-identifier
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll35:3/manifest.json,"['image/jpeg', 'image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:0/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:1/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:2/full/full/0/default.jpg']",['The Rare Books and Special Collections Library would like to thank Professor Saleh Lamei for his generous donation and work preserving the architectural heritage of Egypt.'],['Sabil wa-Kuttab wa-Wakala al-Sultan Qaytbay'],['Cairo; Egypt'],"['Lamei, Saleh']",['3 drawings'],['architectural drawings (visual works)'],['Copyright Saleh Lamei'],"['Saleh Lamei Collection; Regional Architecture Center; Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll35/id/3"">Sabil Qaitbay - Saliba</a></span>']","['Architecture, Mameluk; Islamic architecture -- Egypt -- Cairo']",['Sabil Qaitbay - Saliba'],['Rare Books and Special Collections Digital Library '],,,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll35:5/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:4/full/full/0/default.jpg,['The Rare Books and Special Collections Library would like to thank Professor Saleh Lamei for his generous donation and work preserving the architectural heritage of Egypt.'],['Saray al-Musafir khana'],['Cairo; Egypt'],['Lamei. Saleh'],,['architectural drawings (visual works)'],['Copyright Saleh Lamei'],"['Saleh Lamei Collection; Regional Architecture Center; Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll35/id/5"">Saray al Musafirkana</a></span>']","['Achitecture, Ottoman']",['Saray al Musafirkana'],['Rare Books and Special Collections Digital Library '],['1987-11'],['Ink on claque'],['SL.1987.03.244']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll35:8/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:6/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:7/full/full/0/default.jpg']",['The Rare Books and Special Collections Library would like to thank Professor Saleh Lamei for his generous donation and work preserving the architectural heritage of Egypt.'],['Mosque of Al-Zahir Baybars'],['Cairo; Egypt'],['Lamei. Saleh'],,['architectural drawings (visual works)'],['Copyright Saleh Lamei'],"['Saleh Lamei Collection; Regional Architecture Center; Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll35/id/8"">Mosque of al Zahir Baybars</a></span>']","['Mosques -- Egypt -- Cairo; Islamic architecture; Architecture, Mameluk']",['Mosque of al Zahir Baybars'],['Rare Books and Special Collections Digital Library '],['1987-11'],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll35:11/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:9/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:10/full/full/0/default.jpg']",['The Rare Books and Special Collections Library would like to thank Professor Saleh Lamei for his generous donation and work preserving the architectural heritage of Egypt.'],['Manzil Qaytbay'],['Cairo; Egypt'],['Lamei. Saleh'],,['architectural drawings (visual works)'],['Copyright Saleh Lamei'],"['Saleh Lamei Collection; Regional Architecture Center; Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll35/id/11"">Manzil Qaitbay</a></span>']","['Architecture, Mameluk; Islamic architecture -- Egypt -- Cairo; Domestic architecture']",['Manzil Qaitbay'],['Rare Books and Special Collections Digital Library '],['1987-11'],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll35:13/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:12/full/full/0/default.jpg,['The Rare Books and Special Collections Library would like to thank Professor Saleh Lamei for his generous donation and work preserving the architectural heritage of Egypt.'],['Tomb of Gani bey al-Ashrafi'],['Cairo; Egypt'],['Lamei. Saleh'],,['architectural drawings (visual works)'],['Copyright Saleh Lamei'],"['Saleh Lamei Collection; Regional Architecture Center; Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll35/id/13"">Dome of Gani bey Al Ashrafi</a></span>']","['Architecture, Mameluk; Islamic architecture -- Egypt -- Cairo; Mausoleums -- Egypt -- Cairo']",['Dome of Gani bey Al Ashrafi'],['Rare Books and Special Collections Digital Library '],['1987-11'],['Ink on claque'],['SL.1987.03.179']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll35:15/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:14/full/full/0/default.jpg,['The Rare Books and Special Collections Library would like to thank Professor Saleh Lamei for his generous donation and work preserving the architectural heritage of Egypt.'],['Ali Badr al-Din al-Qarafi Mausoleum'],['Cairo; Egypt'],['Lamei. Saleh'],,['architectural drawings (visual works)'],['Copyright Saleh Lamei'],"['Saleh Lamei Collection; Regional Architecture Center; Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll35/id/15"">Dome of Badr Al Qarafi</a></span>']","['Architecture, Mameluk; Islamic architecture -- Egypt -- Cairo; Mausoleums -- Egypt -- Cairo']",['Dome of Badr Al Qarafi'],['Rare Books and Special Collections Digital Library '],['1987-11'],['Ink on claque'],['SL.1987.03.181']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll35:17/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:16/full/full/0/default.jpg,['The Rare Books and Special Collections Library would like to thank Professor Saleh Lamei for his generous donation and work preserving the architectural heritage of Egypt.'],['Mausoleum of Anas (Yunus al-Dawadar)'],['Cairo; Egypt'],['Lamei. Saleh'],,['architectural drawings (visual works)'],['Copyright Saleh Lamei'],"['Saleh Lamei Collection; Regional Architecture Center; Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll35/id/17"">Yunus al Dawadar Dome</a></span>']","['Architecture, Mameluk; Islamic architecture -- Egypt -- Cairo; Mausoleums -- Egypt -- Cairo']",['Yunus al Dawadar Dome'],['Rare Books and Special Collections Digital Library '],['1987-11'],['Ink on claque'],['SL.1987.03.180']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll35:20/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:18/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:19/full/full/0/default.jpg']",['The Rare Books and Special Collections Library would like to thank Professor Saleh Lamei for his generous donation and work preserving the architectural heritage of Egypt.'],"[""Mohamed Ali's Palace, Shubra""]",['Cairo; Egypt'],['Lamei. Saleh'],,['architectural drawings (visual works)'],['Copyright Saleh Lamei'],"['Saleh Lamei Collection; Regional Architecture Center; Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll35/id/20"">Saray Muhammad Ali Shubra</a></span>']","['Architecture, Ottoman']",['Saray Muhammad Ali Shubra'],['Rare Books and Special Collections Digital Library '],['1987-11'],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll35:22/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:21/full/full/0/default.jpg,['The Rare Books and Special Collections Library would like to thank Professor Saleh Lamei for his generous donation and work preserving the architectural heritage of Egypt.'],,['Cairo; Egypt'],['Lamei. Saleh'],,['architectural drawings (visual works)'],['Copyright Saleh Lamei'],"['Saleh Lamei Collection; Regional Architecture Center; Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll35/id/22"">Wakala Qaitbay - Azhar</a></span>']","['Architecture, Mameluk; Islamic architecture -- Egypt -- Cairo; Domestic architecture']",['Wakala Qaitbay - Azhar'],['Rare Books and Special Collections Digital Library '],['1987-11'],,['SL.1987.03.106']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll35:24/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll35:23/full/full/0/default.jpg,['The Rare Books and Special Collections Library would like to thank Professor Saleh Lamei for his generous donation and work preserving the architectural heritage of Egypt.'],,['Cairo; Egypt'],['Lamei. Saleh'],,['architectural drawings (visual works)'],['Copyright Saleh Lamei'],"['Saleh Lamei Collection; Regional Architecture Center; Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll35/id/24"">Kamiliya - Madrasa</a></span>']",,['Kamiliya - Madrasa'],['Rare Books and Special Collections Digital Library '],['1987-11'],,['SL.1987.03.109']
