context,id,iiif_format,profile,resource,license,location,date,topic,format,identifier,language,medium,original-identifier,collection,rights,source,title,type,repository,subject,name,creator
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll15:872/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll15:872/full/full/0/default.jpg,['This item is in the public domain.'],['Vittel; France'],['1914'],['cows; fields; livestock; '],['image/jpg'],['31_09_0400'],['French'],['Stereoscopic photographs'],['0400'],['Taxiphote Slides'],"['We believe that there are no copyright restrictions on the use of this image. You may download, copy, display and use the image. However, please include an attribution to ""Rare Books and Special Collections Library; the American University in Cairo"", and provide the Reference URL, which can be found immediately above the image title.']","['Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll15/id/872"">Vittel environs</a></span>']",['Vittel environs'],['Still Image'],['Rare Books and Special Collections Digital Library '],,,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll15:873/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll15:873/full/full/0/default.jpg,['This item is in the public domain.'],['Paris; France'],['1913'],['squares (open spaces); urban landscapes'],['image/jpg'],['27_12_0208'],['French'],['Stereoscopic photographs'],['0208'],['Taxiphote Slides'],"['We believe that there are no copyright restrictions on the use of this image. You may download, copy, display and use the image. However, please include an attribution to ""Rare Books and Special Collections Library; the American University in Cairo"", and provide the Reference URL, which can be found immediately above the image title.']","['Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll15/id/873"">Place de la Concorde</a></span>']",['Place de la Concorde'],['Still Image'],['Rare Books and Special Collections Digital Library '],,,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll15:874/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll15:874/full/full/0/default.jpg,['This item is in the public domain.'],['Cairo; Egypt'],['1919'],['protests'],['image/jpg'],['33_08_0727'],['French'],['Stereoscopic photographs'],['0727'],['Taxiphote Slides'],"['We believe that there are no copyright restrictions on the use of this image. You may download, copy, display and use the image. However, please include an attribution to ""Rare Books and Special Collections Library; the American University in Cairo"", and provide the Reference URL, which can be found immediately above the image title.']","['Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll15/id/874"">Manifestations 8 et 9 Avril 1919</a></span>']",['Manifestations 8 et 9 Avril 1919'],['Still Image'],['Rare Books and Special Collections Digital Library '],"['Egypt--History--Insurrection, 1919; Protest movements; Demonstrations']",,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll15:875/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll15:875/full/full/0/default.jpg,['This item is in the public domain.'],['Salies-de-Béarn; France'],['1921'],['houses; architecture; wood construction; urban landscapes'],['image/jpg'],['16_16_0689'],['French'],['Stereoscopic photographs'],['0689'],['Taxiphote Slides'],"['We believe that there are no copyright restrictions on the use of this image. You may download, copy, display and use the image. However, please include an attribution to ""Rare Books and Special Collections Library; the American University in Cairo"", and provide the Reference URL, which can be found immediately above the image title.']","['Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll15/id/875"">Salies-de-Béarn</a></span>']",['Salies-de-Béarn'],['Still Image'],['Rare Books and Special Collections Digital Library '],,,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll15:876/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll15:876/full/full/0/default.jpg,['This item is in the public domain.'],['Lourdes'],['1919'],['rivers; urban landscapess'],['image/jpg'],['26_02_0571'],['French'],['Stereoscopic photographs'],['0571'],['Taxiphote Slides'],"['We believe that there are no copyright restrictions on the use of this image. You may download, copy, display and use the image. However, please include an attribution to ""Rare Books and Special Collections Library; the American University in Cairo"", and provide the Reference URL, which can be found immediately above the image title.']","['Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll15/id/876"">Gave de Lourdes; France</a></span>']",['Gave de Lourdes; France'],['Still Image'],['Rare Books and Special Collections Digital Library '],,,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll15:877/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll15:877/full/full/0/default.jpg,['This item is in the public domain.'],['Kawm Umbū; Egypt'],['1923'],['landscape; people'],['image/jpg'],['11_19_0971'],['French'],['Stereoscopic photographs'],['0971'],['Taxiphote Slides'],"['We believe that there are no copyright restrictions on the use of this image. You may download, copy, display and use the image. However, please include an attribution to ""Rare Books and Special Collections Library; the American University in Cairo"", and provide the Reference URL, which can be found immediately above the image title.']","['Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll15/id/877"">Halte de Kom Ombo - H. Egypte</a></span>']",['Halte de Kom Ombo - H. Egypte'],['Still Image'],['Rare Books and Special Collections Digital Library '],['Egypt--Social life and customs--20th century.'],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll15:878/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll15:878/full/full/0/default.jpg,['This item is in the public domain.'],['Cairo; Egypt'],['1917-10'],['funeral processions'],['image/jpg'],['10_05_0659'],['French'],['Stereoscopic photographs'],['0659'],['Taxiphote Slides'],"['We believe that there are no copyright restrictions on the use of this image. You may download, copy, display and use the image. However, please include an attribution to ""Rare Books and Special Collections Library; the American University in Cairo"", and provide the Reference URL, which can be found immediately above the image title.']","['Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll15/id/878"">Enterrement Sultan Hussein</a></span>']",['Enterrement Sultan Hussein'],['Still Image'],['Rare Books and Special Collections Digital Library '],['Egypt--Kings and rulers.'],"['Ḥusayn Kāmil, Sultan of Egypt, 1853-1917']",
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll15:879/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll15:879/full/full/0/default.jpg,['This item is in the public domain.'],['Lourdes'],['1919-08'],['Christianity; Catholicism; processions; religious celebrations; pilgrimages'],['image/jpg'],['26_08_0578'],['French'],['Stereoscopic photographs'],['0578'],['Taxiphote Slides'],"['We believe that there are no copyright restrictions on the use of this image. You may download, copy, display and use the image. However, please include an attribution to ""Rare Books and Special Collections Library; the American University in Cairo"", and provide the Reference URL, which can be found immediately above the image title.']","['Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll15/id/879"">Procession à Lourdes; France</a></span>']",['Procession à Lourdes; France'],['Still Image'],['Rare Books and Special Collections Digital Library '],['Christian pilgrims and pilgrimages--France--Lourdes.'],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll15:880/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll15:880/full/full/0/default.jpg,['This item is in the public domain.'],['Nice; France'],['1919'],,['image/jpg'],['22_11_0534'],['French'],['Stereoscopic photographs'],['0534'],['Taxiphote Slides'],"['We believe that there are no copyright restrictions on the use of this image. You may download, copy, display and use the image. However, please include an attribution to ""Rare Books and Special Collections Library; the American University in Cairo"", and provide the Reference URL, which can be found immediately above the image title.']","['Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll15/id/880"">Marche aux fleurs Nice; France</a></span>']",['Marche aux fleurs Nice; France'],['Still Image'],['Rare Books and Special Collections Digital Library '],,,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll15:881/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll15:881/full/full/0/default.jpg,['This item is in the public domain.'],['Giza; Egypt'],['1919'],['zoos; vegetation; '],['image/jpg'],['24_13_0028'],['French'],['Stereoscopic photographs'],['0028'],['Taxiphote Slides'],"['We believe that there are no copyright restrictions on the use of this image. You may download, copy, display and use the image. However, please include an attribution to ""Rare Books and Special Collections Library; the American University in Cairo"", and provide the Reference URL, which can be found immediately above the image title.']","['Rare Books and Special Collections Library; the American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll15/id/881"">Zoo jardin Caire</a></span>']",['Zoo jardin Caire'],['Still Image'],['Rare Books and Special Collections Digital Library '],['Zoos--Egypt--Cairo.'],,
