id,description,date,identifier,language,format,preview,shown_at,subject,title,type
http://www.loc.gov/item/2003673365/,['1 photographic print : albumen.'],1880-01-01,"LOT 11905, no. 1 [item] [P&P]","['turkish, ottoman (1500-1928)', 'english']","['photo, print, drawing']","['https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28821_150px.jpg#h=123&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28821t.gif#h=123&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28821r.jpg#h=525&w=640']",https://www.loc.gov/item/2003673365/,"['turkey', 'istanbul', 'cityscapes', 'coastlines', 'albumen prints', 'educational facilities']",[View from the sea of Tophane and the Imperial School of Engineering],
http://www.loc.gov/item/2003673374/,['1 photographic print : albumen.'],1880-01-01,"LOT 11905, no. 10 [item] [P&P]","['turkish, ottoman (1500-1928)', 'english']","['photo, print, drawing']","['https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28830_150px.jpg#h=119&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28830t.gif#h=120&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28830r.jpg#h=510&w=640']",https://www.loc.gov/item/2003673374/,"['turkey', 'portrait photographs', 'istanbul', 'military bands', 'military personnel', 'bodyguards', 'albumen prints', 'artillery (troops)', 'group portraits']",[The sortie of the First Mobile Artillery Bodyguard Brigade from the barracks],
http://www.loc.gov/item/2003673375/,['1 photographic print : albumen.'],1880-01-01,"LOT 11905, no. 11 [item] [P&P]","['turkish, ottoman (1500-1928)', 'english']","['photo, print, drawing']","['https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28831_150px.jpg#h=119&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28831t.gif#h=119&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28831r.jpg#h=508&w=640']",https://www.loc.gov/item/2003673375/,"['turkey', 'istanbul', 'military bands', 'military personnel', 'bodyguards', 'albumen prints', 'artillery (troops)']",[View of the First Mobile Artillery Bodyguard Brigade and harnessed horses],
http://www.loc.gov/item/2003673376/,['1 photographic print : albumen.'],1880-01-01,"LOT 11905, no. 12 [item] [P&P]","['turkish, ottoman (1500-1928)', 'english']","['photo, print, drawing']","['https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28832_150px.jpg#h=121&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28832t.gif#h=121&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28832r.jpg#h=516&w=640']",https://www.loc.gov/item/2003673376/,"['turkey', 'horses', 'istanbul', 'military training', 'animal teams', 'military personnel', 'bodyguards', 'cannons', 'albumen prints', 'artillery (troops)']",[The parade of the First Mobile Artillery Bodyguard Brigade with the battery of artillery],
http://www.loc.gov/item/2003673377/,['1 photographic print : albumen.'],1880-01-01,"LOT 11905, no. 13 [item] [P&P]","['turkish, ottoman (1500-1928)', 'english']","['photo, print, drawing']","['https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28833_150px.jpg#h=121&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28833t.gif#h=121&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28833r.jpg#h=516&w=640']",https://www.loc.gov/item/2003673377/,"['turkey', 'portrait photographs', 'istanbul', 'military bands', 'tubas', 'military personnel', 'bodyguards', 'albumen prints', 'group portraits']",[The band of the First Mobile Artillery Bodyguard Brigade],
http://www.loc.gov/item/2003673378/,['1 photographic print : albumen.'],1880-01-01,"LOT 11905, no. 14 [item] [P&P]","['turkish, ottoman (1500-1928)', 'english']","['photo, print, drawing']","['https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28834_150px.jpg#h=121&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28834t.gif#h=121&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28834r.jpg#h=517&w=640']",https://www.loc.gov/item/2003673378/,"['turkey', 'portrait photographs', 'istanbul', 'boots', 'military personnel', 'bodyguards', 'albumen prints', 'artillery (troops)', 'group portraits']",[The First Mobile Artillery Bodyguard Brigade parading without artillery],
http://www.loc.gov/item/2003673379/,['1 photographic print : albumen.'],1880-01-01,"LOT 11905, no. 15 [item] [P&P]","['turkish, ottoman (1500-1928)', 'english']","['photo, print, drawing']","['https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28835_150px.jpg#h=119&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28835t.gif#h=120&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28835r.jpg#h=510&w=640']",https://www.loc.gov/item/2003673379/,"['turkey', 'portrait photographs', 'istanbul', 'albumen prints', 'artillery (troops)', 'group portraits']",[Seven men from the artillery soldiers],
http://www.loc.gov/item/2003673380/,['1 photographic print : albumen.'],1880-01-01,"LOT 11905, no. 16 [item] [P&P]","['turkish, ottoman (1500-1928)', 'english']","['photo, print, drawing']","['https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28836_150px.jpg#h=120&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28836t.gif#h=120&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28836r.jpg#h=512&w=640']",https://www.loc.gov/item/2003673380/,"['turkey', 'portrait photographs', 'istanbul', 'military officers', 'soldiers', 'barracks', 'albumen prints', 'doors & doorways', 'group portraits']",[A group photograph of the officers in front of the door of the barracks],
http://www.loc.gov/item/2003673381/,['1 photographic print : albumen.'],1880-01-01,"LOT 11905, no. 17 [item] [P&P]","['turkish, ottoman (1500-1928)', 'english']","['photo, print, drawing']","['https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28837_150px.jpg#h=121&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28837t.gif#h=120&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28837r.jpg#h=514&w=640']",https://www.loc.gov/item/2003673381/,"['military training', 'turkey', 'albumen prints', 'istanbul']","[Two batteries, one of them firing, the other one moving forward]",
http://www.loc.gov/item/2003673382/,['1 photographic print : albumen.'],1880-01-01,"LOT 11905, no. 18 [item] [P&P]","['turkish, ottoman (1500-1928)', 'english']","['photo, print, drawing']","['https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28838_150px.jpg#h=121&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28838t.gif#h=121&w=150', 'https://tile.loc.gov/storage-services/service/pnp/cph/3b20000/3b28000/3b28800/3b28838r.jpg#h=516&w=640']",https://www.loc.gov/item/2003673382/,"['turkey', 'portrait photographs', 'istanbul', 'fire fighters', 'drums', 'military personnel', 'albumen prints', 'group portraits']",[A group photograph of the Second Armed Batallion of the Fire Brigade],
