id,description,date,identifier,language,location_country,format,preview,shown_at,subject,title,type
http://www.loc.gov/item/2017498321/,"[""A scholar's collection of bits of text, mostly in Persian with some Arabic, accompanied by extensive comments.""]",18??,AG110.P47 M35 1800z,"['arabic', 'persian']","['india', 'uzbekistan', 'tajikistan']",['manuscript/mixed material'],"['https://tile.loc.gov/image-services/iiif/service:amed:plmp:m154:0334/full/pct:6.25/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m154:0334/full/pct:6.25/0/default.jpg#h=389&w=271', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m154:0334/full/pct:12.5/0/default.jpg#h=778&w=542', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m154:0334/full/pct:25/0/default.jpg#h=1556&w=1084', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m154:0334/full/pct:50/0/default.jpg#h=3113&w=2168', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m154:0334/full/pct:100/0/default.jpg#h=6227&w=4337']",https://www.loc.gov/item/2017498321/,"['washington (d.c.)', 'manuscripts, persian', 'india', 'uzbekistan', 'manuscripts, arabic', 'handbooks, vade-mecums, etc', 'tajikistan']","[Majmuʻah, or, Collection]",['manuscript']
http://www.loc.gov/item/2001310742/,"['Short biographical sketches of philosophers, B.C.']",1923-01-01,B104 .K38 1923,['persian'],['afghanistan'],['book'],"['https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406681713:0005/full/pct:12.5/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406681713:0005/full/pct:12.5/0/default.jpg#h=502&w=345', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406681713:0005/full/pct:25/0/default.jpg#h=1005&w=690', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406681713:0005/full/pct:50/0/default.jpg#h=2011&w=1380', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406681713:0005/full/pct:100/0/default.jpg#h=4022&w=2760']",https://www.loc.gov/item/2001310742/,"['philosophers', 'afghanistan', 'biography']",Tārīkh-i ḥukamā-yi mutaqaddimīn az hubūṭ-i Ḥaz̤rat Ādam tā bi-vujūd-i āmadan-i Ḥaz̤rat ʻĪsá,['text']
http://www.loc.gov/item/2007432450/,['Lithographed. In Persian.'],1891-01-01,B751 .D34 1891,['persian'],['india'],['book'],"['https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537389:0005/full/pct:6.25/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537389:0005/full/pct:6.25/0/default.jpg#h=376&w=262', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537389:0005/full/pct:12.5/0/default.jpg#h=752&w=525', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537389:0005/full/pct:25/0/default.jpg#h=1505&w=1051', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537389:0005/full/pct:50/0/default.jpg#h=3010&w=2102', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537389:0005/full/pct:100/0/default.jpg#h=6021&w=4204']",https://www.loc.gov/item/2007432450/,"['medicine, arab', 'science', 'india', 'early works to 1800', 'islamic philosophy', 'logic']",Māyah-ʼi Dānish-i ʻAlāʼī mashhūr bi-Ḥikmat al-ʻAlāy,['text']
http://www.loc.gov/item/2019418758/,['Treatise on astrology.'],1876,BF1714.A6 B39 1876,['persian'],['iran'],['manuscript/mixed material'],"['https://tile.loc.gov/image-services/iiif/service:amed:plmp:m401:0515/full/pct:6.25/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m401:0515/full/pct:6.25/0/default.jpg#h=264&w=169', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m401:0515/full/pct:12.5/0/default.jpg#h=528&w=338', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m401:0515/full/pct:25/0/default.jpg#h=1057&w=677', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m401:0515/full/pct:50/0/default.jpg#h=2115&w=1355', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m401:0515/full/pct:100/0/default.jpg#h=4231&w=2711']",https://www.loc.gov/item/2019418758/,"['astrology, arab', 'early works to 1800', 'iran', 'washington (d.c.)', 'manuscripts, persian']",Kitāb Javāmiʻ al-aḥkām,['manuscript']
http://www.loc.gov/item/2004439314/,"['Treatise on geomancy, the science of foretelling the future from lines and diagrams drawn on the ground.']",1886-01-01,BF1758.P47 L34 1886,['persian'],['india'],['book'],"['https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406680824:0005/full/pct:6.25/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406680824:0005/full/pct:6.25/0/default.jpg#h=384&w=234', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406680824:0005/full/pct:12.5/0/default.jpg#h=769&w=468', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406680824:0005/full/pct:25/0/default.jpg#h=1538&w=937', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406680824:0005/full/pct:50/0/default.jpg#h=3076&w=1875', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406680824:0005/full/pct:100/0/default.jpg#h=6153&w=3751']",https://www.loc.gov/item/2004439314/,"['india', 'geomancy', 'astrological geomancy', 'divination']",Miṣdāq al-raml,['text']
http://www.loc.gov/item/2004439313/,['Lithographed. In Persian.'],1881-01-01,BF1758.P47 S55 1881,['persian'],['india'],['book'],"['https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406682602:0007/full/pct:6.25/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406682602:0007/full/pct:6.25/0/default.jpg#h=392&w=292', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406682602:0007/full/pct:12.5/0/default.jpg#h=785&w=584', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406682602:0007/full/pct:25/0/default.jpg#h=1570&w=1169', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406682602:0007/full/pct:50/0/default.jpg#h=3141&w=2339', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406682602:0007/full/pct:100/0/default.jpg#h=6283&w=4679']",https://www.loc.gov/item/2004439313/,"['india', 'geomancy', 'astrological geomancy', 'divination']",Anvār al-raml,['text']
http://www.loc.gov/item/2001289670/,['In Persian.'],1927,BJ1291 .A28114 1927,['persian'],,['book'],"['https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406686231:0005/full/pct:6.25/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406686231:0005/full/pct:6.25/0/default.jpg#h=362&w=237', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406686231:0005/full/pct:12.5/0/default.jpg#h=725&w=475', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406686231:0005/full/pct:25/0/default.jpg#h=1450&w=951', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406686231:0005/full/pct:50/0/default.jpg#h=2900&w=1903', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406686231:0005/full/pct:100/0/default.jpg#h=5800&w=3807']",https://www.loc.gov/item/2001289670/,['islamic ethics'],Muṣāḥabah-ʼi akhlāqīyah,['text']
http://www.loc.gov/item/2007432443/,['Lithographed. In Persian; translated from Arabic.'],1859,BJ1291 .D54 1859 BJ1291 .D54 1859 Copy 2,['persian'],,['book'],"['https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537286:0005/full/pct:6.25/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537286:0005/full/pct:6.25/0/default.jpg#h=383&w=270', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537286:0005/full/pct:12.5/0/default.jpg#h=767&w=540', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537286:0005/full/pct:25/0/default.jpg#h=1535&w=1080', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537286:0005/full/pct:50/0/default.jpg#h=3070&w=2160', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537286:0005/full/pct:100/0/default.jpg#h=6141&w=4320']",https://www.loc.gov/item/2007432443/,"['islamic ethics', 'early works to 1800']",Faraj baʻd al-shiddah,['text']
http://www.loc.gov/item/2003340555/,['Lithographed. In Persian.'],1908,BJ1291 .F323 1908,['persian'],,['book'],"['https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537754:0017/full/pct:6.25/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537754:0017/full/pct:6.25/0/default.jpg#h=397&w=278', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537754:0017/full/pct:12.5/0/default.jpg#h=795&w=557', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537754:0017/full/pct:25/0/default.jpg#h=1591&w=1115', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537754:0017/full/pct:50/0/default.jpg#h=3183&w=2231', 'https://tile.loc.gov/image-services/iiif/service:amed:amedpllc:00406537754:0017/full/pct:100/0/default.jpg#h=6366&w=4463']",https://www.loc.gov/item/2003340555/,"['islamic ethics', 'early works to 1800', 'muslims', 'conduct of life']",Kitāb-i mustaṭāb-i Maḥbūb al-qulūb mashhūr bi-Shamsah va qahqahah,['text']
http://www.loc.gov/item/2016397149/,['Treatis on Islamic ethics and religious life.'],17??,BJ1291 .K3 1700z,['arabic'],"['iran', 'india']",['manuscript/mixed material'],"['https://tile.loc.gov/image-services/iiif/service:amed:plmp:m045:0126/full/pct:6.25/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m045:0126/full/pct:6.25/0/default.jpg#h=309&w=196', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m045:0126/full/pct:12.5/0/default.jpg#h=619&w=392', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m045:0126/full/pct:25/0/default.jpg#h=1238&w=785', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m045:0126/full/pct:50/0/default.jpg#h=2477&w=1571', 'https://tile.loc.gov/image-services/iiif/service:amed:plmp:m045:0126/full/pct:100/0/default.jpg#h=4955&w=3142']",https://www.loc.gov/item/2016397149/,"['manuscripts, persian', 'india', 'iran', 'washington (d.c.)']",Kitāb-i akhlāq-i muḥsinī,['manuscript']
