version_uri,date,author_ar,author_lat,title_ar,title_lat,ed_info,tags,text_url,one2all_data_url,one2all_stats_url,one2all_vis_url,pairwise_data_url
0001AbuTalibCabdManaf.Diwan.JK007501-ara1,1,أبو طالب,Abu Talib Cabd Manaf,ديوان أبو طالب,Diwan,,GAL@literature-national :: GAL@literature-arabic :: GAL@pseudo-calid :: _SHICR_JAHILI :: _SHICR :: GAL@period-muhammad :: JK@جاهلي :: JK@دواوين الشعر العربي :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE :: RECONSTRUCTED_TEXT :: PRIMARY_VERSION :: CLEANED_VERSION,https://raw.githubusercontent.com/openiti/release/master/data/0001AbuTalibCabdManaf/0001AbuTalibCabdManaf.Diwan/0001AbuTalibCabdManaf.Diwan.JK007501-ara1,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/msdata/2023.1.8_JK007501_all.csv,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/stats/2023.1.8_JK007501_stats.csv,https://kitab-project.org/explore/#/visualise/2023.1.8/?books=JK007501-ara1,https://dev.kitab-project.org/2023.1.8-pairwise/JK007501-ara1/
0001AwsIbnHajar.Diwan.JK007502-ara1,1,أوس بن حجر,Aws Ibn Hajar,ديوان أوس بن حجر,Diwan,,GAL@literature-national :: GAL@literature-arabic :: _SHICR_JAHILI :: _SHICR :: GAL@period-premuhammad :: JK@جاهلي :: JK@دواوين الشعر العربي :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE :: RECONSTRUCTED_TEXT :: PRIMARY_VERSION :: CLEANED_VERSION,https://raw.githubusercontent.com/openiti/release/master/data/0001AwsIbnHajar/0001AwsIbnHajar.Diwan/0001AwsIbnHajar.Diwan.JK007502-ara1,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/msdata/2023.1.8_JK007502_all.csv,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/stats/2023.1.8_JK007502_stats.csv,https://kitab-project.org/explore/#/visualise/2023.1.8/?books=JK007502-ara1,https://dev.kitab-project.org/2023.1.8-pairwise/JK007502-ara1/
0001CalqamaFahl.Diwan.JK007522-ara1,1,علقمة الفحل,Calqama Fahl,ديوان علقمة الفحل,Diwan,,ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: RECONSTRUCTED_TEXT :: PRIMARY_VERSION :: CLEANED_VERSION,https://raw.githubusercontent.com/openiti/release/master/data/0001CalqamaFahl/0001CalqamaFahl.Diwan/0001CalqamaFahl.Diwan.JK007522-ara1,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/msdata/2023.1.8_JK007522_all.csv,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/stats/2023.1.8_JK007522_stats.csv,https://kitab-project.org/explore/#/visualise/2023.1.8/?books=JK007522-ara1,https://dev.kitab-project.org/2023.1.8-pairwise/JK007522-ara1/
0001CamrIbnKulthum.Diwan.JK007524-ara1,1,عمرو بن كلثوم,Camr Ibn Kulthum,ديوان عمرو بن كلثوم,Diwan,,ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION,https://raw.githubusercontent.com/openiti/release/master/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan/0001CamrIbnKulthum.Diwan.JK007524-ara1,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/msdata/2023.1.8_JK007524_all.csv,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/stats/2023.1.8_JK007524_stats.csv,https://kitab-project.org/explore/#/visualise/2023.1.8/?books=JK007524-ara1,https://dev.kitab-project.org/2023.1.8-pairwise/JK007524-ara1/
0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1,1,عمرو بن كلثوم,Camr Ibn Kulthum,معلقة عمرو بن كلثوم,Mucallaqa,,ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION,https://raw.githubusercontent.com/openiti/release/master/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Mucallaqa/0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/msdata/2023.1.8_ShamAY0038526_all.csv,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/stats/2023.1.8_ShamAY0038526_stats.csv,https://kitab-project.org/explore/#/visualise/2023.1.8/?books=ShamAY0038526-ara1,https://dev.kitab-project.org/2023.1.8-pairwise/ShamAY0038526-ara1/
0001CamrIbnMalik.Diwan.JK007525-ara1,1,عمرو بن مالك,Camr Ibn Malik,ديوان عمرو بن مالك,Diwan,,GAL@literature-national :: GAL@literature-arabic :: _SHICR_JAHILI :: _SHICR :: GAL@period-premuhammad :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION,https://raw.githubusercontent.com/openiti/release/master/data/0001CamrIbnMalik/0001CamrIbnMalik.Diwan/0001CamrIbnMalik.Diwan.JK007525-ara1,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/msdata/2023.1.8_JK007525_all.csv,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/stats/2023.1.8_JK007525_stats.csv,https://kitab-project.org/explore/#/visualise/2023.1.8/?books=JK007525-ara1,https://dev.kitab-project.org/2023.1.8-pairwise/JK007525-ara1/
0001CamrIbnQumaya.Diwan.JK007523-ara1,1,عمرو بن قميئة,Camr Ibn Qumaya,ديوان عمرو بن قميئة,Diwan,,GAL@literature-national :: GAL@literature-arabic :: _SHICR_JAHILI :: _SHICR :: GAL@period-premuhammad :: JK@جاهلي :: JK@دواوين الشعر العربي :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION,https://raw.githubusercontent.com/openiti/release/master/data/0001CamrIbnQumaya/0001CamrIbnQumaya.Diwan/0001CamrIbnQumaya.Diwan.JK007523-ara1,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/msdata/2023.1.8_JK007523_all.csv,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/stats/2023.1.8_JK007523_stats.csv,https://kitab-project.org/explore/#/visualise/2023.1.8/?books=JK007523-ara1,https://dev.kitab-project.org/2023.1.8-pairwise/JK007523-ara1/
0001CantaraIbnShaddad.Diwan.JK007526-ara1,1,عنترة بن شداد,Cantara Ibn Shaddad,ديوان عنترة بن شداد,Diwan,,ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION,https://raw.githubusercontent.com/openiti/release/master/data/0001CantaraIbnShaddad/0001CantaraIbnShaddad.Diwan/0001CantaraIbnShaddad.Diwan.JK007526-ara1,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/msdata/2023.1.8_JK007526_all.csv,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/stats/2023.1.8_JK007526_stats.csv,https://kitab-project.org/explore/#/visualise/2023.1.8/?books=JK007526-ara1,https://dev.kitab-project.org/2023.1.8-pairwise/JK007526-ara1/
0001CantaraIbnShaddad.Mucallaqa.ShamAY0038527-ara1,1,عنترة بن شداد,Cantara Ibn Shaddad,معلقة عنترة,Mucallaqa,,ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION,https://raw.githubusercontent.com/openiti/release/master/data/0001CantaraIbnShaddad/0001CantaraIbnShaddad.Mucallaqa/0001CantaraIbnShaddad.Mucallaqa.ShamAY0038527-ara1,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/msdata/2023.1.8_ShamAY0038527_all.csv,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/stats/2023.1.8_ShamAY0038527_stats.csv,https://kitab-project.org/explore/#/visualise/2023.1.8/?books=ShamAY0038527-ara1,https://dev.kitab-project.org/2023.1.8-pairwise/ShamAY0038527-ara1/
0001CurwaIbnWard.Diwan.JK007521-ara1,1,عروة بن الورد,Curwa Ibn Ward,ديوان عروة بن الورد,Diwan,,ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION,https://raw.githubusercontent.com/openiti/release/master/data/0001CurwaIbnWard/0001CurwaIbnWard.Diwan/0001CurwaIbnWard.Diwan.JK007521-ara1,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/msdata/2023.1.8_JK007521_all.csv,https://raw.githubusercontent.com/kitab-project-org/one_to_all/v2023.1.8/stats/2023.1.8_JK007521_stats.csv,https://kitab-project.org/explore/#/visualise/2023.1.8/?books=JK007521-ara1,https://dev.kitab-project.org/2023.1.8-pairwise/JK007521-ara1/
