context,id,iiif_format,profile,resource,boyutlar-measurements,tarih-date,envanter-numarası-accession-number,teknik-materials/techniques,telif-hakkı-copyright,başlık-title,tür-type,sanatçı-artist,repository,source,kayıtlar-inscriptions/marks,dönem-object/work-culture,başlık-alternatif-title-alternative,açıklama-description,konservasyon-conservation,ayrıca-bakınız-see-also,fiziksel-görünüm-physical-appearance
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/ResimKlksyn:572/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/ResimKlksyn:572/full/full/0/default.jpg,['55.5 x 39 cm'],['Tarihsiz'],['220-0158-SBO'],['Kağıt üzerine suluboya'],['© Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],['Cami Girişi'],['Resim'],"['Boyar, Ali Sami, 1880-1967']",['digitalSSM'],"['<span>From: <a href=""https://digitalssm.org/digital/collection/ResimKlksyn/id/572"">Cami Girişi</a></span>']",,,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/ResimKlksyn:573/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/ResimKlksyn:573/full/full/0/default.jpg,['68.5 x 44 cm'],['1917'],['200-0160-LM'],['Tuval üzerine yağlıboya'],['Fotoğraf © Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],['Balık Tutan Çocuk'],['Resim'],"['De Mango, Leonardo, 1843-1930']",['digitalSSM'],"['<span>From: <a href=""https://digitalssm.org/digital/collection/ResimKlksyn/id/573"">Balık Tutan Çocuk</a></span>']",,,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/ResimKlksyn:574/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/ResimKlksyn:574/full/full/0/default.jpg,['72.5 x 58 cm'],['Tarihsiz'],['200-0059-H'],['Tuval üzerine yağlıboya'],['Fotoğraf © Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],['Vazoda Çiçekler'],['Resim'],['Halil'],['digitalSSM'],"['<span>From: <a href=""https://digitalssm.org/digital/collection/ResimKlksyn/id/574"">Vazoda Çiçekler</a></span>']",,,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/ResimKlksyn:575/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/ResimKlksyn:575/full/full/0/default.jpg,['56 x 67 cm'],['Tarihsiz'],['200-0061-AAC'],['Duralit üzerine yağlıboya'],['Fotoğraf © Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],['Muradiye Camii'],['Resim'],['Ali Avni Çelebi (1904-1993)'],['digitalSSM'],"['<span>From: <a href=""https://digitalssm.org/digital/collection/ResimKlksyn/id/575"">Muradiye Camii</a></span>']",,,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/ResimKlksyn:576/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/ResimKlksyn:576/full/full/0/default.jpg,['60 x 73 cm'],['1931'],['200-0060-FD'],['Tuval üzerine yağlıboya'],['© Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],['Portakallı Natürmort'],['Resim'],['Feyhaman Duran (1886-1970)'],['digitalSSM'],"['<span>From: <a href=""https://digitalssm.org/digital/collection/ResimKlksyn/id/576"">Portakallı Natürmort</a></span>']",,,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/ResimKlksyn:577/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/ResimKlksyn:577/full/full/0/default.jpg,['73 x 60 cm'],['1912-1913'],['200-0159-GS'],['Tuval üzerine yağlıboya'],['Fotoğraf © Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],['Manzara'],['Resim'],['Gelibolulu Süleyman'],['digitalSSM'],"['<span>From: <a href=""https://digitalssm.org/digital/collection/ResimKlksyn/id/577"">Manzara</a></span>']",['Sol altta Osmanlıca imzalı ve tarihli: Süleyman Gelibolu / r. 1328'],,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/ResimKlksyn:578/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/ResimKlksyn:578/full/full/0/default.jpg,['56.5 x 76 cm'],['1953'],['200-0063-SA'],['Duralit üzerine yağlıboya'],['Fotoğraf © Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],['Masa Etrafı Sohbet'],['Resim'],['Sirun Adın (1926-2003)'],['digitalSSM'],"['<span>From: <a href=""https://digitalssm.org/digital/collection/ResimKlksyn/id/578"">Masa Etrafı Sohbet</a></span>']",['Sol altta imzalı ve tarihli: S. Adın / 1953'],,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/ResimKlksyn:579/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/ResimKlksyn:579/full/full/0/default.jpg,['48.5 x 64 cm'],['1932'],['210-0161-M'],['Kağıt üzerine guaj'],['© Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],['Orta Oyunu'],['Resim'],"['Özduygu, Muazzez, 1871-1956']",['digitalSSM'],"['<span>From: <a href=""https://digitalssm.org/digital/collection/ResimKlksyn/id/579"">Orta Oyunu</a></span>']",,,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/ResimKlksyn:580/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/ResimKlksyn:580/full/full/0/default.jpg,['60.5 x 41.5 cm'],['Tarihsiz'],['200-0062-HA'],['Tuval üzerine yağlıboya'],['Fotoğraf © Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],['Bursa'],['Resim'],"['Hale Asaf, 1905-1938']",['digitalSSM'],"['<span>From: <a href=""https://digitalssm.org/digital/collection/ResimKlksyn/id/580"">Bursa</a></span>']",,['Müstakiller'],,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/ResimKlksyn:581/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/ResimKlksyn:581/full/full/0/default.jpg,['50.5 x 40 cm'],['Tarihsiz'],['200-0162-OE'],['Tuval üzerine yağlıboya'],['Fotoğraf © Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],['Vazoda Çiçekler'],['Resim'],"['Ersoy, Orhan, 1928-']",['digitalSSM'],"['<span>From: <a href=""https://digitalssm.org/digital/collection/ResimKlksyn/id/581"">Vazoda Çiçekler</a></span>']",,,,,,,
